"streetID","dateRated","dateLastOverlay","overall","crack","patch","width"
12573737,"4/14","1988",4,3,1,56
12573741,"4/14","2001",7,4,3,45
12573743,"4/14","2001",4,2,3,35
12573744,"4/14","2001",6,4,2,45
12573745,"4/14","2001",6,3,3,45
12573746,"4/15","1986",9,5,5,37
12573747,"4/14","2001",5,2,3,50
12573748,"4/14","1988",4,3,1,56
12573749,"4/14","2001",6,3,3,50
12573750,"4/14","2001",5,2,4,50
12573751,"4/15","1999",8,5,4,37
12573752,"4/14","1988",6,3,3,56
12573753,"4/14","1989",4,3,2,30
12573754,"4/15","1998",5,3,2,27
12573755,"4/14","",5,4,2,NA
12573756,"4/15","1998",5,3,2,27
12573757,"4/15","2006",7,4,3,30
12573758,"4/15","2007",8,4,4,50
12573759,"4/15","2007",8,4,4,50
12573760,"4/15","1998",6,4,2,27
12573761,"4/15","1998",6,4,2,27
12573762,"4/15","2007",8,4,4,50
12573763,"4/15","2007",8,4,4,50
12573764,"4/15","1998",7,4,2,27
12573766,"4/14","",5,3,3,NA
12573767,"4/15","2006",7,4,3,30
12573769,"4/15","2006",7,4,3,30
12573770,"4/14","2001",7,3,4,56
12573771,"4/14","2001",5,2,4,30
12573772,"4/14","",5,3,3,30
12573773,"4/14","",5,3,3,NA
12573774,"4/15","2006",8,4,4,30
12573775,"4/15","1999",5,2,3,30
12573776,"4/15","1999",5,2,3,30
12573779,"4/15","2007",8,4,4,50
12573780,"4/15","2007",8,4,4,50
12573781,"4/15","2007",8,4,4,50
12573783,"4/14","",5,3,3,30
12573784,"4/15","1999",5,2,3,30
12573785,"4/15","1997",6,3,4,34
12573786,"4/14","1996",5,2,3,20
12573787,"4/15","2004",7,3,4,56
12573788,"4/14","",4,2,4,20
12573789,"4/15","2004",7,3,4,34
12573790,"4/15","1998",5,4,2,27
12573791,"4/15","2004",6,3,3,56
12573792,"4/15","1998",6,4,2,27
12573793,"4/15","2004",7,3,5,34
12573797,"4/14","2000",5,3,2,20
12573798,"4/14","1991",4,2,2,36
12573801,"4/15","1998",6,4,2,27
12573810,"4/15","2004",6,3,3,50
12573828,"4/14","",4,3,1,NA
12573841,"4/14","1997",6,3,3,NA
12573855,"4/15","",4,2,2,42
12573861,"4/15","1992",5,3,3,42
12573863,"4/14","1997",6,3,3,34
12573864,"4/15","1996",5,3,2,40
12573868,"4/15","1999",6,3,3,30
12573875,"4/15","",5,3,3,40
12573876,"4/15","1992",8,4,5,40
12573879,"4/14","2001",5,2,3,45
12573880,"4/15","2001",4,2,2,42
12573882,"4/14","2001",5,2,3,45
12573883,"6/14","2001",5,2,4,42
12573884,"4/15","",6,3,4,56
12573885,"4/14","2001",5,3,3,50
12573886,"4/15","",6,3,3,42
12573887,"4/14","1988",5,3,3,56
12573888,"4/14","2001",5,3,3,50
12573889,"4/14","1990",NA,NA,NA,40
12573890,"","",NA,3,3,42
12573891,"4/14","1988",5,3,3,56
12573893,"4/14","1989",5,3,2,60
12573894,"4/14","",6,3,3,45
12573895,"4/15","1992",8,4,5,40
12573896,"4/15","2012",6,4,3,42
12573897,"4/14","",7,4,4,45
12573898,"4/14","2001",8,4,5,40
12573899,"4/14","",7,4,4,45
12573900,"4/14","2001",6,3,4,40
12573901,"4/15","",6,4,3,0
12573902,"4/14","2001",8,4,3,40
12573903,"4/14","2001",5,3,4,40
12573904,"4/15","2006",7,4,3,40
12573905,"4/15","1999",6,3,3,48
12573906,"4/14","1999",6,3,4,30
12573908,"4/15","1999",6,3,3,48
12573909,"4/15","1999",6,3,3,48
12573930,"4/14","",6,3,3,NA
12573932,"4/15","1981",8,3,5,30
12573934,"4/15","2010",8,5,4,45
12573935,"4/15","",7,4,4,30
12573936,"4/15","1999",5,3,4,40
12573939,"4/15","2010",8,4,4,45
12573945,"4/15","2010",8,5,4,45
12573948,"4/15","2006",6,4,3,40
12573950,"4/14","",4,2,4,NA
12573955,"4/14","1989",7,4,4,60
12573962,"4/15","2010",8,5,4,45
12573965,"4/15","",4,2,2,21
12573973,"4/15","",6,3,3,40
12573974,"4/14","1990",5,2,3,21
12573976,"4/14","",5,4,3,60
12574833,"6/14","1990",5,3,2,0
12574837,"6/14","",5,3,3,19
12574838,"6/14","1994",5,2,4,NA
12574840,"4/15","2001",4,2,2,35
12574847,"6/14","2001",7,4,3,35
12574850,"4/15","",4,2,2,40
12574851,"6/14","1999",6,3,2,36
12574852,"4/15","",2,2,1,24
12574853,"6/14","",6,2,4,19
12574854,"4/15","2004",7,3,4,36
12574855,"4/15","2004",7,3,4,36
12574856,"4/15","2001",4,2,2,35
12574858,"4/15","2002",7,4,4,36
12574859,"4/15","2008",8,4,5,35
12574860,"4/15","",6,3,3,36
12574861,"4/15","1997",5,3,2,36
12574862,"4/15","2008",7,4,4,35
12574864,"4/15","1997",5,3,2,36
12574865,"6/14","1999",6,4,2,36
12574866,"4/15","",5,3,1,40
12574867,"4/15","",5,3,1,40
12574868,"4/15","2004",5,3,1,30
12574870,"6/14","1999",6,3,3,36
12574871,"6/14","1999",6,3,3,36
12574889,"4/14","2002",3,2,1,40
12574897,"4/15","2006",7,3,3,40
12574976,"4/14","2002",3,2,1,40
12574981,"4/14","2002",3,2,1,40
12574984,"4/14","",7,4,3,44
12574989,"4/14","",7,4,3,44
12574992,"4/14","",5,3,2,68
12574993,"4/15","1999",6,3,5,37
12574996,"4/15","1994",7,4,4,36
12574997,"4/15","1994",6,3,3,36
12574998,"4/14","",5,3,3,30
12575000,"9/14","",8,4,5,12
12575001,"4/14","",2,3,1,NA
12575005,"4/14","",5,3,1,68
12575007,"4/14","2001",6,3,5,36
12575008,"4/15","",8,4,5,41
12575011,"4/14","2001",6,3,5,36
12575022,"4/15","",8,4,5,59
12575044,"4/15","2007",9,4,5,35
12575047,"4/14","2001",6,3,5,36
12575051,"4/14","1991",4,2,2,36
12575056,"4/14","1991",4,2,2,36
12575059,"4/15","2004",7,3,5,36
12575061,"9/14","",8,4,5,12
12575064,"4/14","",5,3,1,64
12575065,"4/15","",5,2,3,36
12575068,"4/14","",6,3,1,54
12575069,"4/15","2004",6,3,5,36
12575072,"4/14","",4,2,2,36
12575073,"4/14","2005",5,3,2,30
12575079,"4/14","",8,4,5,36
12575082,"4/14","",8,4,5,36
12575084,"4/14","1989",6,3,3,34
12575088,"4/15","2004",6,3,3,30
12575091,"4/14","",6,4,3,33
12575092,"4/15","2009",3,2,1,40
12575093,"4/14","1991",4,3,1,36
12575094,"3/14","",5,3,2,40
12575095,"4/15","2009",3,2,1,40
12575096,"4/14","1989",7,4,5,36
12575097,"4/14","1989",7,4,5,36
12575100,"4/15","",6,3,2,21
12575102,"4/15","",3,2,2,33
12575108,"4/15","",6,3,3,40
12575109,"4/15","",6,3,3,40
12575110,"4/14","1993",3,2,1,35
12575112,"4/14","1993",3,2,1,35
12575113,"4/14","1993",3,2,1,35
12575114,"4/15","1999",5,3,3,30
12575116,"4/15","",6,3,4,21
12575118,"4/14","2001",6,3,3,42
12575120,"4/15","2006",8,4,5,35
12575122,"4/14","2001",6,3,3,42
12575123,"4/14","",6,3,3,33
12575124,"4/14","",6,3,3,33
12575125,"4/14","2003",8,4,4,70
12575126,"4/14","2005",7,4,5,57
12575127,"4/14","",5,3,2,33
12575128,"4/14","",5,3,2,33
12575129,"4/14","",4,2,2,16
12575131,"3/14","",5,3,2,40
12575137,"4/15","",5,3,3,21
12575143,"4/15","2007",8,4,5,35
12575145,"4/15","2004",6,3,3,30
12575146,"4/14","1999",6,3,5,27
12575148,"4/14","1999",3,2,1,27
12575150,"4/14","",4,2,2,30
12575151,"4/15","",7,3,4,35
12575152,"4/14","",4,2,3,30
12575153,"4/15","2007",8,4,5,35
12575154,"4/15","2007",8,4,5,35
12575155,"4/15","2007",8,4,5,35
12575160,"4/14","2003",8,4,5,70
12575161,"4/15","",4,3,1,35
12575162,"4/14","2005",8,4,3,36
12575163,"4/14","2003",6,3,3,54
12575165,"4/15","2004",7,3,3,30
12575166,"4/15","2006",7,4,4,35
12575167,"4/14","2001",6,3,3,42
12575168,"4/14","",9,4,5,70
12575169,"4/15","2007",8,3,5,27
12575170,"4/14","2000",7,3,4,36
12575171,"4/14","2001",6,3,3,42
12575172,"4/14","2001",6,3,3,42
12575173,"4/14","1999",4,3,1,30
12575174,"4/14","",6,3,2,42
12575175,"4/14","1999",4,3,2,30
12575176,"4/14","2005",7,4,3,40
12575177,"4/14","2005",6,3,2,40
12575178,"4/14","2003",8,4,5,70
12575180,"4/14","2005",7,4,3,40
12575181,"4/14","2005",6,4,5,40
12575182,"4/14","2002",6,2,4,28
12575183,"4/14","1994",6,3,4,28
12575184,"4/15","2007",8,4,4,24
12575185,"4/14","1999",8,4,5,30
12575186,"4/14","1999",7,3,1,30
12575187,"4/15","2007",7,3,5,28
12575188,"4/14","1999",6,3,4,30
12575193,"4/15","",5,3,3,59
12575195,"4/14","",4,3,1,36
12575197,"10/13","2013",10,5,5,36
12575199,"4/15","1989",4,2,2,42
12575200,"4/14","2003",4,3,2,42
12575201,"4/14","",5,3,3,36
12575203,"4/14","",5,3,3,36
12575206,"4/14","1999",6,3,4,27
12575210,"4/14","",5,2,2,27
12575211,"4/14","1999",4,2,2,27
12575212,"4/14","",4,3,2,36
12575213,"4/14","",6,3,3,36
12575214,"4/14","",4,3,2,36
12575215,"4/14","",5,3,2,27
12575216,"4/14","",4,2,3,16
12575217,"10/13","2013",10,5,5,36
12575219,"4/14","",6,3,3,36
12575220,"4/15","2007",7,4,5,36
12575221,"4/14","2003",5,3,2,42
12575222,"4/14","2003",5,3,2,42
12575223,"4/14","2003",4,3,1,42
12575224,"4/14","2003",6,4,2,27
12575226,"4/15","1990",2,1,2,30
12575227,"4/15","",5,3,3,59
12575231,"4/15","",5,3,3,64
12575233,"4/14","",3,2,2,47
12575234,"4/14","2003",3,2,2,45
12575235,"4/15","1989",5,2,3,42
12575236,"5/15","",2,2,1,47
12575237,"4/14","2001",7,5,2,37
12575239,"4/14","2001",7,5,2,37
12575240,"4/14","1999",4,3,2,37
12575242,"4/14","",3,2,1,47
12575243,"4/14","",3,3,1,27
12575244,"4/14","",3,2,1,36
12575246,"4/15","2002",7,3,4,30
12575247,"4/14","2001",8,4,5,37
12575249,"4/15","2003",6,4,3,42
12575251,"4/14","1993",6,3,3,11
12575252,"4/14","",3,2,2,27
12575253,"4/15","1990",3,1,3,30
12575254,"4/15","2002",7,3,4,30
12575256,"4/15","2002",7,3,4,30
12575257,"6/15","",8,4,5,35
12575258,"4/15","2007",8,4,5,36
12575259,"4/14","",3,2,2,27
12575260,"4/14","",3,2,2,27
12575261,"4/14","",3,2,2,27
12575262,"4/15","2010",8,4,5,36
12575263,"4/15","2003",6,3,3,42
12575264,"4/14","",4,2,2,36
12575265,"4/15","2010",9,5,5,36
12575266,"4/15","2010",8,4,5,36
12575267,"4/14","1986",5,2,3,36
12575268,"4/14","1989",6,3,3,34
12575269,"4/14","",5,2,2,36
12575270,"4/14","",5,2,2,36
12575271,"4/14","1989",7,4,3,34
12575272,"4/14","2003",4,3,1,42
12575273,"4/14","2003",6,3,3,54
12575274,"4/14","",6,3,2,28
12575275,"4/14","",4,2,3,30
12575276,"4/14","",5,2,3,30
12575277,"4/15","2007",8,5,4,28
12575278,"4/14","",3,1,4,30
12575279,"4/15","2002",6,2,5,25
12575280,"4/15","1989",7,4,4,34
12575281,"4/15","1989",7,4,4,34
12575282,"4/14","2003",6,4,2,27
12575283,"4/14","2003",7,4,4,27
12575284,"4/15","1990",2,1,1,30
12575285,"4/15","1989",6,3,4,33
12575286,"4/14","2009",7,4,3,30
12575287,"4/15","2004",7,4,4,34
12575288,"4/14","",4,2,2,36
12575290,"4/15","2004",7,4,4,33
12575292,"4/15","2007",8,5,2,24
12575293,"4/15","1989",3,1,2,33
12575295,"4/14","2009",8,4,5,30
12575296,"4/14","",3,2,2,36
12575297,"4/14","",4,2,2,36
12575300,"4/15","2006",8,3,5,25
12575302,"4/14","",6,3,3,27
12575303,"4/14","",4,2,2,27
12575305,"4/14","2003",8,4,5,27
12575306,"4/14","",5,2,3,36
12575307,"4/15","2004",7,4,4,34
12575308,"4/14","2000",6,4,3,36
12575309,"4/14","2000",5,3,2,36
12575311,"4/15","2003",6,3,2,36
12575312,"4/14","2003",7,4,5,27
12575313,"4/15","2003",7,4,4,36
12575314,"4/15","2003",7,4,4,36
12575315,"4/14","2003",8,4,4,27
12575316,"4/14","2000",5,2,3,27
12575317,"4/15","2004",7,4,4,34
12575318,"4/14","2009",8,4,5,30
12575319,"4/14","2000",6,3,4,27
12575322,"4/15","",4,2,2,36
12575323,"4/15","2004",7,4,4,34
12575324,"4/15","",4,2,2,36
12575326,"4/15","2004",7,4,3,34
12575327,"4/14","2006",8,4,5,30
12575330,"4/14","2006",8,4,5,30
12575375,"4/15","2010",8,3,5,37
12575475,"4/14","",4,3,1,36
12575476,"4/15","2003",6,3,4,36
12575478,"4/14","",4,3,1,36
12575479,"4/15","2003",6,3,2,42
12575480,"4/15","2003",7,3,4,36
12575481,"4/15","2003",6,3,3,42
12575483,"4/15","2003",6,3,2,42
12575484,"4/14","",4,3,1,36
12575485,"4/14","2004",6,3,4,36
12575490,"4/14","",5,2,3,36
12575491,"4/14","1986",4,2,2,36
12575494,"4/14","1986",4,3,2,36
12575498,"4/14","2006",8,4,4,36
12575499,"4/14","2006",8,4,4,36
12575500,"4/14","2004",5,3,3,36
12575501,"4/15","2003",6,3,4,42
12575502,"4/14","1989",4,3,3,16
12575503,"4/14","2006",8,4,4,36
12575504,"4/14","2001",7,3,4,36
12575505,"4/15","1998",6,3,4,25
12575506,"4/14","2001",7,3,4,36
12575507,"4/14","2001",7,3,4,36
12575508,"4/15","2009",7,4,2,23
12575509,"4/14","2003",7,4,4,27
12575510,"4/14","2006",7,4,4,36
12575511,"4/14","2006",8,4,4,36
12575512,"4/14","2006",7,4,4,36
12575513,"4/14","",4,3,3,27
12575515,"4/15","2004",7,4,3,34
12575516,"4/15","2004",7,4,3,34
12575517,"4/15","2012",5,2,4,36
12575518,"4/15","2006",8,4,5,35
12575519,"4/14","2005",8,4,4,21
12575520,"4/15","2006",8,4,5,35
12575521,"6/15","1996",7,3,4,18
12575522,"4/14","",4,3,3,27
12575523,"4/15","2009",8,4,4,23
12575524,"4/15","2009",8,4,3,23
12575525,"4/15","2009",8,4,5,23
12575526,"4/14","1998",5,3,3,27
12575527,"4/14","1998",5,3,3,41
12575528,"4/15","2003",6,3,4,42
12575529,"4/15","1993",6,2,4,34
12575530,"4/14","1993",4,3,3,34
12575531,"4/15","2003",6,3,3,42
12575532,"4/14","2004",6,3,3,36
12575533,"4/15","1998",5,2,4,32
12575534,"4/15","1998",5,2,4,32
12575535,"4/14","1983",6,3,3,22
12575536,"4/15","",7,4,5,NA
12575537,"4/14","",5,3,3,36
12575539,"4/15","2003",6,3,4,42
12575542,"4/15","",7,4,3,42
12575543,"4/15","1998",7,4,4,32
12575544,"4/14","2004",6,3,3,36
12575545,"4/14","1998",4,2,4,27
12575550,"4/14","1997",7,3,4,28
12575551,"4/15","2001",4,1,2,31
12575553,"4/14","1983",5,3,3,22
12575554,"4/15","",5,3,3,33
12575555,"4/15","",5,3,1,33
12575556,"4/14","1983",6,3,4,22
12575557,"4/15","",5,3,3,33
12575558,"4/14","2005",7,4,4,36
12575559,"4/14","",4,2,2,NA
12575560,"4/14","1989",4,2,3,25
12575561,"4/14","2005",5,3,5,36
12575562,"4/14","2005",5,3,5,36
12575563,"4/14","",6,3,4,30
12575568,"4/15","2000",6,3,4,33
12575597,"4/14","",5,3,3,36
12575598,"4/15","2000",6,3,3,33
12575599,"4/15","2000",6,3,3,33
12576486,"4/15","",6,3,3,28
12576488,"6/14","",5,2,4,27
12576489,"4/15","",7,3,5,28
12576490,"4/15","",6,4,3,30
12576491,"4/15","",7,3,5,30
12576492,"4/15","",7,3,5,30
12576495,"4/15","",7,3,4,28
12576496,"4/15","2004",7,4,5,26
12576497,"4/15","",6,3,4,26
12576498,"4/15","",7,3,4,28
12576499,"4/15","",7,3,4,28
12576502,"5/14","2000",8,4,5,24
12576503,"5/14","2000",6,3,4,24
12576504,"6/15","",6,3,1,27
12576505,"5/14","2001",5,3,4,40
12576506,"5/14","2000",7,4,3,24
12576507,"5/14","",5,3,5,27
12576508,"5/14","2000",7,3,5,24
12576509,"5/14","2000",6,3,5,25
12576510,"6/15","1999",6,3,5,24
12576511,"5/14","2000",5,3,3,25
12576512,"4/15","",6,4,2,28
12576513,"4/15","",5,3,3,26
12576514,"4/15","1991",5,3,2,27
12576515,"4/15","2004",6,3,5,26
12576516,"4/15","1991",5,3,2,27
12576518,"4/15","1991",5,3,2,27
12576519,"4/15","",7,4,4,25
12576521,"6/15","",6,3,3,24
12576522,"5/14","2001",5,3,4,40
12576523,"5/14","2001",6,3,4,40
12576524,"6/15","",6,3,3,26
12576525,"6/15","2000",4,2,2,18
12576526,"6/15","2000",6,3,5,18
12576527,"5/14","2001",6,3,4,40
12576528,"6/15","",6,3,3,22
12576529,"5/14","2001",5,3,4,40
12576530,"6/15","",6,3,4,25
12576531,"6/15","2000",5,2,3,18
12576532,"6/15","1995",6,3,4,26
12576533,"6/15","2000",6,2,5,18
12576534,"6/15","",6,3,4,24
12576535,"6/15","1995",5,3,5,25
12576536,"6/15","1995",5,3,5,25
12576537,"6/15","",7,3,5,26
12576538,"6/15","1995",5,3,5,25
12576539,"6/15","1995",6,3,3,31
12576540,"6/15","1999",6,3,3,29
12576541,"6/15","",5,2,3,22
12576542,"6/15","1995",5,3,5,25
12576543,"6/15","",5,3,2,25
12576544,"6/15","1995",6,3,4,25
12576545,"6/15","1995",6,3,3,26
12576547,"6/15","1995",6,3,4,31
12576548,"6/15","",5,2,3,24
12576549,"6/15","1995",6,3,3,31
12576550,"5/14","2001",5,4,2,40
12576551,"6/15","2000",7,3,5,24
12576552,"6/15","1995",6,3,5,23
12576553,"6/15","2000",7,3,5,24
12576554,"5/14","2001",5,3,3,40
12576555,"6/15","",6,3,4,27
12576556,"6/15","1995",6,3,5,26
12576557,"5/14","",4,2,4,26
12576559,"6/15","1995",6,3,5,32
12576560,"5/14","1995",5,3,2,26
12576561,"5/14","1995",5,3,2,26
12576562,"4/14","1994",4,2,2,26
12576563,"6/15","",4,2,4,31
12576573,"6/14","",6,3,3,24
12576574,"6/14","",7,3,4,24
12576576,"6/15","2004",8,3,5,34
12576578,"5/14","2000",6,3,2,24
12576579,"6/15","",6,3,5,22
12576580,"6/15","2004",7,4,4,34
12576581,"6/15","",6,3,3,24
12576584,"5/14","1999",5,3,3,27
12576586,"6/15","",4,3,1,30
12576590,"6/15","",6,4,2,24
12576591,"6/15","",6,2,4,28
12576592,"6/15","2004",6,3,4,24
12576599,"5/14","",5,3,3,26
12576600,"5/14","1999",6,3,4,25
12576601,"6/15","1989",6,3,4,40
12576602,"6/15","1989",6,3,4,40
12576605,"6/15","1987",4,3,2,24
12576606,"5/14","2009",8,5,3,28
12576608,"6/15","1989",6,3,3,40
12576609,"6/15","1989",6,3,3,40
12576610,"6/15","1991",6,3,4,25
12576611,"6/15","",6,3,4,26
12576612,"5/14","2001",6,3,3,40
12576613,"5/14","2001",6,3,3,40
12576614,"6/15","",5,3,3,27
12576619,"6/15","",5,3,2,27
12576620,"6/15","1991",3,3,1,24
12576624,"5/14","2009",8,4,5,28
12576627,"5/14","2009",6,3,5,27
12576628,"5/14","2001",6,3,3,40
12576629,"6/15","",5,3,4,24
12576630,"5/14","2001",5,2,3,40
12576631,"6/15","1993",7,3,4,25
12576632,"6/15","",5,3,2,23
12576633,"6/15","",5,2,3,27
12576634,"6/15","2004",5,3,3,16
12576635,"6/15","1993",7,3,5,25
12576636,"6/15","1993",7,3,5,25
12576637,"6/15","1993",7,3,5,25
12576638,"6/15","1995",6,3,4,27
12576640,"5/14","2001",5,2,4,40
12576641,"5/14","2001",5,2,4,40
12576642,"6/15","1995",7,3,5,27
12576643,"6/15","2004",5,3,1,25
12576644,"6/15","",5,2,4,27
12576645,"6/15","1987",4,3,2,24
12576647,"6/15","1993",7,3,5,25
